2325	7 (A W E U N B S) 
Echeveria_setosa	0000100
Echeveria_shaviana	0000100
Echeveria_simulans	0000100
Echeveria_spectabilis	0000100
Echeveria_steyermarkii	0000100
Echeveria_strictiflora	0000100
Echeveria_subalpina	0000100
Echeveria_subcorymbosa	0000100
Echeveria_subrigida	0000100
Echeveria_tamaulipana	0000100
Echeveria_tolimanensis	0000100
Echeveria_tolucensis	0000100
Echeveria_turgida	0000100
Echeveria_uhlii	0000100
Echeveria_utcubambensis	0000001
Echeveria_valvata	0000100
Echeveria_viridissima	0000100
Echeveria_walpoleana	0000100
Echeveria_waltheri	0000100
Echeveria_westii	0000001
Echeveria_whitei	0000001
Echeveria_xichuensis	0000100
Elmera_racemosa	0000100
Embolanthera_glabrescens	0010000
Eustigma_balansae	0010000
Eustigma_honbaense	0010000
Eustigma_lenticellatum	0010000
Eustigma_oblongifolium	0010000
Exbucklandia_longipetala	0010000
Exbucklandia_populnea	0010000
Exbucklandia_tonkinensis	0010000
Fortunearia_sinensis	0010000
Fothergilla_gardenii	0000100
Fothergilla_major	0000100
Glischrocaryon_angustifolium	0001000
Glischrocaryon_aureum	0001000
Glischrocaryon_behrii	0001000
Glischrocaryon_flavescens	0001000
Glischrocaryon_roei	0001000
Gonocarpus_acanthocarpus	0011000
Gonocarpus_aggregatus	0001000
Gonocarpus_benthamii	0001000
Gonocarpus_chinensis	0011000
Gonocarpus_confertifolius	0001000
Gonocarpus_cordiger	0001000
Gonocarpus_diffusus	0001000
Gonocarpus_effusus	0001000
Gonocarpus_elatus	0001000
Gonocarpus_ephemerus	0001000
Gonocarpus_eremophilus	0001000
Gonocarpus_ericifolius	0001000
Gonocarpus_glauca	0001000
Gonocarpus_hexandrus	0001000
Gonocarpus_hirtus	0001000
Gonocarpus_hispidus	0001000
Gonocarpus_humilis	0001000
Gonocarpus_implexus	0001000
Gonocarpus_incanus	0001000
Gonocarpus_intricatus	0001000
Gonocarpus_leptothecus	0001000
Gonocarpus_longifolius	0001000
Gonocarpus_mezianus	0001000
Gonocarpus_micranthus	0011000
Gonocarpus_montanus	0001000
Gonocarpus_nodulosus	0001000
Gonocarpus_oreophilus	0001000
Gonocarpus_paniculatus	0001000
Gonocarpus_philippinensis	0010000
Gonocarpus_pithyoides	0001000
Gonocarpus_pusillus	0001000
Gonocarpus_pycnostachyus	0001000
Gonocarpus_rotundifolius	0001000
Gonocarpus_rudis	0001000
Gonocarpus_salsoloides	0001000
Gonocarpus_sanguineus	0010000
Gonocarpus_scordioides	0001000
Gonocarpus_serpyllifolius	0001000
Gonocarpus_simplex	0001000
Gonocarpus_tetragynus	0001000
Gonocarpus_teucrioides	0001000
Gonocarpus_trichostachyus	0001000
Gonocarpus_uniflora	0001000
Gonocarpus_urceolatus	0001000
Graptopetalum_amethystinum	0000100
Graptopetalum_bartramii	0000100
Graptopetalum_bellum	0000100
Graptopetalum_filiferum	0000100
Graptopetalum_fruticosum	0000100
Graptopetalum_grande	0000100
Graptopetalum_macdougallii	0000100
Graptopetalum_mendozae	0000100
Graptopetalum_occidentale	0000100
Graptopetalum_pachyphyllum	0000100
Graptopetalum_paraguayense	0000100
Graptopetalum_pentandrum	0000100
Graptopetalum_rusbyi	0000100
Haloragis_aculeolata	0001000
Haloragis_acutangula	0001000
Haloragis_aspera	0001000
Haloragis_brownii	0001000
Haloragis_ciliata	0001000
Haloragis_cyanea	0001000
Haloragis_depressa	0001000
Haloragis_diffusa	0001000
Haloragis_digyna	0001000
Haloragis_dura	0001000
Haloragis_eichleri	0001000
Haloragis_elata	0001000
Haloragis_erecta	0001000
Haloragis_exalata	0001000
Haloragis_eyreana	0001000
Haloragis_foliosa	0001000
Haloragis_glauca	0001000
Haloragis_gossei	0001000
Haloragis_halconensis	0010000
Haloragis_hamata	0001000
Haloragis_heterophylla	0001000
Haloragis_maierae	0001000
Haloragis_masafuerana	0000001
Haloragis_masatierrana	0000001
Haloragis_milesiae	0001000
Haloragis_mucronata	0001000
Haloragis_myriocarpa	0001000
Haloragis_odontocarpa	0001000
Haloragis_pithyoides	0001000
Haloragis_platycarpa	0001000
Haloragis_prostrata	0010000
Haloragis_racemosa	0001000
Haloragis_rudis	0001000
Haloragis_scoparia	0001000
Haloragis_semi-angulata	0001000
Haloragis_serra	0001000
Haloragis_stokesii	0010000
Haloragis_stricta	0001000
Haloragis_tenuifolia	0001000
Haloragis_tetragyna	0001000
Haloragis_teucrioides	0001000
Haloragis_trigonocarpa	0001000
Haloragis_uncatipila	0001000
Haloragodendron_baeuerlenii	0001000
Haloragodendron_bauerlenii	0001000
Haloragodendron_gibsonii	0001000
Haloragodendron_glandulosum	0001000
Haloragodendron_lucasii	0001000
Haloragodendron_monospermum	0001000
Haloragodendron_racemosum	0001000
Hamamelis_japonica	0010000
Hamamelis_mexicana	0000100
Hamamelis_mollis	0010000
Hamamelis_ovalis	0000100
Hamamelis_vernalis	0000100
Hamamelis_virginiana	0000100
Heuchera_abramsii	0000100
Heuchera_acutifolia	0000100
Heuchera_alba	0000100
Heuchera_americana	0000100
Heuchera_bracteata	0000100
Heuchera_brevistaminea	0000100
Heuchera_caespitosa	0000100
Heuchera_caroliniana	0000100
Heuchera_chlorantha	0000100
Heuchera_cylindrica	0000100
Heuchera_eastwoodiae	0000100
Heuchera_elegans	0000100
Heuchera_glabra	0000100
Heuchera_glomerulata	0000100
Heuchera_grossulariifolia	0000100
Heuchera_hallii	0000100
Heuchera_hirsutissima	0000100
Heuchera_inconstans	0000100
Heuchera_lakelae	0000100
Heuchera_longiflora	0000100
Heuchera_longipetala	0000100
Heuchera_maxima	0000100
Heuchera_merriamii	0000100
Heuchera_mexicana	0000100
Heuchera_micrantha	0000100
Heuchera_missouriensis	0000100
Heuchera_novomexicana	0000100
Heuchera_parishii	0000100
Heuchera_parviflora	0000100
Heuchera_parvifolia	0000100
Heuchera_pilosissima	0000100
Heuchera_puberula	0000100
Heuchera_pubescens	0000100
Heuchera_pulchella	0000100
Heuchera_richardsonii	0000100
Heuchera_rosendahlii	0000100
Heuchera_rubescens	0000100
Heuchera_sanguinea	0000100
Heuchera_soltisii	0000100
Heuchera_versicolor	0000100
Heuchera_villosa	0000100
Heuchera_wellsiae	0000100
Heuchera_woodsiaphila	0000100
Heuchera_wootonii	0000100
Hieronymusia_alchemilloides	0000001
Hylotelephium_anacampseros	0000010
Hylotelephium_angustum	0010000
